도서번호,제목,저자,출판사,분야,발행(출시)일자
S00001,혼모노,성해나,창비,소설,20250328
S00002,안녕이라 그랬어,김애란,문학동네,소설,20250620
S00003,"첫 여름, 완주",김금희,무제(MUZE),소설,20250508
S00004,청춘의 독서(특별증보판),유시민,웅진지식하우스,인문,20250422
S00005,우리의 낙원에서 만나자,하태완,북로망스,시/에세이,20250521
S00006,"2025 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1, 2, 3급)(상)",최태성,이투스북,인문,20241224
S00007,모순,양귀자,쓰다,소설,20130401
S00008,"2025 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급)(하)",최태성,이투스북,인문,20241224
S00009,세계 경제 지각 변동,박종훈,글로퍼스,경제/경영,20250627
S00010,경험의 멸종,크리스틴 로젠,어크로스,인문,20250520
S00011,고전이 답했다: 마땅히 가져야 할 부에 대하여,고명환,라곰,자기계발,20250702
S00012,단 한 번의 삶,김영하,복복서가,시/에세이,20250406
S00013,소년이 온다,한강,창비,소설,20140519
S00014,왓츠 유어 드림,사이먼 스큅,북파머스,자기계발,20250604
S00015,초역 부처의 말,코이케 류노스케,포레스트북스,인문,20240530
S00016,토막 난 우주를 안고서,김초엽 외,허블,소설,20250618
S00017,쓰는 인간: 종이에 기록한 사유와 창조의 역사,롤런드 앨런,상상스퀘어,역사/문화,20250625
S00018,오역하는 말들,황석희,북다,시/에세이,20250530
S00019,프로젝트 헤일메리,앤디 위어,알에이치코리아,소설,20210504
S00020,여름은 고작 계절,김서해,위즈덤하우스,소설,20250625
S00021,어른의 행복은 조용하다,태수,페이지2북스,시/에세이,20241104
S00022,원피스 111: 엘바프 모험,EIICHIRO ODA,대원씨아이,만화,20250630
S00023,박곰희 연금 부자 수업,박곰희,인플루엔셜,경제/경영,20250625
S00024,궤도,서맨사 하비,서해문집,소설,20250620
S00025,행동은 불안을 이긴다,롭 다이얼,서삼독,자기계발,20250416
S00026,"2025 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화(1,2,3급)",최태성,이투스북,인문,20241224
S00027,여름어 사전,아침달 편집부,아침달,시/에세이,20250618
S00028,위버멘쉬,프리드리히 니체,떠오름(RISE),인문,20250314
S00029,스토너,존 윌리엄스,알에이치코리아,소설,20150102
S00030,결국 마음먹은 대로 된다,나폴레온 힐,지니의서재,자기계발,20250715
S00031,작별하지 않는다,한강,문학동네,소설,20210909
S00032,장미와 나이프,히가시노 게이고,반타,소설,20250616
S00033,내가 원하는 것을 나도 모를 때,전승환,북로망스,인문,20250115
S00034,너무 늦은 시간,클레어 키건,다산책방,소설,20250703
S00035,마침내 특이점이 시작된다,레이 커즈와일,비즈니스북스,과학,20250613
S00036,기억을 비울수록 뇌가 산다,이와다테 야스오,이든서재,자기계발,20250707
S00037,나는 소망한다 내게 금지된 것을,양귀자,쓰다,소설,20190420
S00038,워런 버핏 웨이,로버트 해그스트롬,상상스퀘어,경제/경영,20250521
S00039,산 루이스 레이의 다리(신형철해제본),손턴 와일더,클레이하우스,소설,20250502
S00040,급류,정대건,민음사,소설,20221222
S00041,홍학의 자리,정해연,엘릭시르,소설,20210726
S00042,제철 행복,김신지,인플루엔셜,시/에세이,20240425
S00043,행복하지 않아서 뇌를 바꾸려고 합니다,손정헌,더페이지,자기계발,20250707
S00044,"아무튼, 여름",김신회,제철소,시/에세이,20250701
S00045,위대한 개츠비,F. 스콧 피츠제럴드,펭귄랜덤하우스코리아,소설,20250530
S00046,어떻게 살 만한 세상을 만들 것인가: 흔들리는 세계의 질서 편,노엄 촘스키 외,알토북스,인문,20250710
S00047,빛과 실,한강,문학과지성사,시/에세이,20250418
S00048,이기적 유전자,리처드 도킨스,을유문화사,과학,20230130
S00049,이 지랄맞음이 쌓여 축제가 되겠지(리커버:K),조승리,달,시/에세이,20240329
S00050,코스모스,칼 세이건,사이언스북스,과학,20100120
S00051,나는 0원으로 강남 건물주보다 월세 많이 받는 온라인 건물주로 산다,알파남(김지수),타이탄북스,경제/경영,20250626
S00052,행복할 거야 이래도 되나 싶을 정도로,일홍,부크럼,시/에세이,20240729
S00053,행복 강박,올리버 버크먼,북플레저,인문,20250702
S00054,단 한 줄만 내 마음에 새긴다고 해도,나민애,포레스트북스,인문,20250611
S00055,듀얼 브레인,이선 몰릭,상상스퀘어,자기계발,20250319
S00056,내게 남은 스물다섯 번의 계절,슈테판 셰퍼,서삼독,소설,20250516
S00057,욕을 먹어도 신경 쓰지 않는 사고방식,호리 모토코,파인북,자기계발,20250715
S00058,치유의 빛,강화길,은행나무,소설,20250611
S00059,료의 생각 없는 생각,료,열림원,시/에세이,20250616
S00060,브랜드 창업 마스터,이종구,마스터클라스,경제/경영,20250613
S00061,소설 보다: 여름 2025,김지연 외,문학과지성사,소설,20250610
S00062,제16회 젊은작가상 수상작품집(2025),백온유 외,문학동네,소설,20250402
S00063,싯다르타,헤르만 헤세,민음사,소설,20020120
S00064,미치도록 보고 싶었던 돈의 얼굴,EBS 돈의 얼굴 제작진 외,영진닷컴,경제/경영,20250705
S00065,"큰별쌤 최태성의 별별한국사 시대별 기출문제집 한국사능력검정시험 심화(1,2,3급)",최태성,이투스북,인문,20250611
S00066,데일 카네기 인간관계론(50만부 돌파 초판 무삭제 완역본),데일 카네기,현대지성,자기계발,20191007
S00067,너를 찾는 파도 3(특별판),청연,다산코믹스(DASAN COMICS),만화,20250704
S00068,부자의 기술,박승영 외,티더블유아이지,경제/경영,20250630
S00069,인생을 바꾸는 최고의 ETF,잼투리,거인의정원,경제/경영,20250627
S00070,사랑과 멸종을 바꿔 읽어보십시오,유선혜,문학과지성사,시/에세이,20241028
S00071,쇼펜하우어 인생수업: 한 번뿐인 삶 이렇게 살아라(리커버 에디션),쇼펜하우어,하이스트,인문,20240220
S00072,먹어 보면 알지: 호랑수박의 전설,이지은,웅진주니어,유아(0~7세),20250715
S00073,이재명 자서전 그 꿈이 있어 여기까지 왔다,이재명,아시아,정치/사회,20250609
S00074,초역 부처의 말 필사집,코이케 류노스케,포레스트북스,인문,20250319
S00075,이지패스 2025 ADsP 데이터분석 준전문가,전용문 외,위키북스,컴퓨터/IT,20250107
S00076,마음의 기술,안-엘렌 클레르 외,상상스퀘어,인문,20241118
S00077,메리골드 마음 식물원,윤정은,북로망스,소설,20250618
S00078,열혈강호 93,전극진,대원씨아이,만화,20250616
S00079,퓨처 셀프 30만 부 기념 스페셜 에디션,벤저민 하디,상상스퀘어,자기계발,20240925
S00080,너무나 많은 여름이,김연수,레제,소설,20230626
S00081,리스크테이커,네이트 실버,더퀘스트,경제/경영,20250710
S00082,여름 피치 스파클링,차정은,다이브,시/에세이,20250604
S00083,귀신들의 땅,천쓰홍,민음사,소설,20231229
S00084,드디어 만나는 해부학 수업,케빈 랭포드,현대지성,과학,20250630
S00085,2026 시나공 컴퓨터활용능력 2급 필기 기본서,길벗알앤디,길벗,컴퓨터/IT,20250616
S00086,인생을 바꾸는 이메일 쓰기,이슬아,이야기장수,시/에세이,20250612
S00087,월든,헨리 데이비드 소로,펭귄랜덤하우스코리아,시/에세이,20250530
S00088,"혹시, 돈 얘기해도 될까요?",주언규,필름(Feelm),시/에세이,20250528
S00089,단 3개의 미국 ETF로 은퇴하라,김지훈(포메뽀꼬),리더스북,경제/경영,20250324
S00090,돈의 심리학(30만 부 기념 스페셜 에디션),모건 하우절,인플루엔셜,경제/경영,20231106
S00091,내가 본 미래(완전판),타츠키 료,도토리,만화,20231031
S00092,생각의 주도권을 디자인하라,박용후,경이로움,자기계발,20250702
S00093,넥서스,유발 하라리,김영사,인문,20241011
S00094,채식주의자,한강,창비,소설,20220328
S00095,먼저 온 미래,장강명,동아시아,인문,20250626
S00096,파과,구병모,위즈덤하우스,소설,20180416
S00097,달리기를 말할 때 내가 하고 싶은 이야기,무라카미 하루키,문학사상,시/에세이,20161215
S00098,청와대 사람들,강승지,페이지2북스,시/에세이,20250709
S00099,결핍은 우리를 어떻게 변화시키는가,센딜 멀레이너선 외,빌리버튼,경제/경영,20250327
S00100,샤워젤과 소다수,고선경,문학동네,시/에세이,20231019
S00101,결혼ㆍ여름,알베르 카뮈,녹색광선,시/에세이,20230804
S00102,참을 수 없는 존재의 가벼움,밀란 쿤데라,민음사,소설,20180620
S00103,버진 수어사이드,제프리 유제니디스,민음사,소설,20250207
S00104,여름,이디스 워튼,민음사,소설,20200814
S00105,돈의 속성(400쇄 리커버에디션),김승호,스노우폭스북스,경제/경영,20200615
S00106,데미안,헤르만 헤세,민음사,소설,20090120
S00107,반딧불이의 혼례 7,Oreco TACHIBANA,서울미디어코믹스(서울문화사),만화,20250630
S00108,김혜순 죽음 트릴로지,김혜순,문학과지성사,시/에세이,20250618
S00109,빅 사이클,레이 달리오,한빛비즈,경제/경영,20250603
S00110,2025 ADsP 데이터분석 준전문가,윤종식,데이터에듀,컴퓨터/IT,20250418
S00111,토마토 컵라면(스페셜 에디션),차정은,부크크(Bookk),시/에세이,20240408
S00112,물질의 세계,에드 콘웨이,인플루엔셜,인문,20240308
S00113,총 균 쇠,재레드 다이아몬드,김영사,역사/문화,20230511
S00114,너라는 브랜드를 마케팅하라,이소라,클랩북스,자기계발,20250720
S00115,기자의 글쓰기: 실전편 싸움의 기술(도서 + 강연),박종인,와이즈맵,인문,20250620
S00116,"다시, 몸으로",김초엽 외,래빗홀,소설,20250611
S00117,일억 번째 여름,청예,창비,소설,20250516
S00118,부의 전략 수업,폴 포돌스키,필름(Feelm),경제/경영,20250507
S00119,오렌지,Wendy Cope,윌마,시/에세이,20250416
S00120,2025 시대에듀 한국실용글쓰기 실제 기출로 끝내기,이원근 외,시대고시기획,인문,20250410
S00121,구의 증명(리커버판),최진영,은행나무,소설,20230426
S00122,두고 온 여름,성해나,창비,소설,20230317
S00123,앵무새 죽이기(리커버판),하퍼 리,열린책들,소설,20150630
S00124,한 권으로 끝내는 절세 배당 은퇴 공식,김제림,매일경제신문사,경제/경영,20250704
S00125,부의 심리학,김경일,포레스트북스,인문,20250618
S00126,밤새들의 도시,김주혜,다산책방,소설,20250613
S00127,인생의 연금술,이하영,웅진지식하우스,자기계발,20250528
S00128,고래눈이 내리다,김보영,래빗홀,소설,20250519
S00129,예술 도둑(리커버:K),마이클 핀클,생각의힘,시/에세이,20240920
S00130,마침내 멸망하는 여름(스페셜 에디션),정,부크크(Bookk),시/에세이,20240603
S00131,작은 땅의 야수들(리커버 무선판),김주혜,다산책방,소설,20230619
S00132,대한민국 최상급지 사다리 갈아타기,임실장,페이지2북스,경제/경영,20250707
S00133,유쾌한 워터멜론,차정은,부크크(Bookk),시/에세이,20250701
S00134,스파이 패밀리 15,Tatsuya Endo,학산문화사,만화,20250624
S00135,누구도 대신 살아 주지 않는다,브라이언 트레이시,오픈도어북스,자기계발,20250611
S00136,싯다르타,헤르만 헤세,민음사,소설,20250610
S00137,결국 국민이 합니다,이재명,오마이북,정치/사회,20250415
